regional_group,metric,boot_m,boot_med,boot_sd,boot_lower_ci,boot_upper_ci,n_users,user_pop_size_log10
FR101,artist_div_q0,4527.561,4529,42.15530035889139,4444.975,4613.025,111235,5.046241459145623
FR101,artist_div_q1,2462.5206385439337,2464.243640815433,38.53365678637607,2388.1596201433304,2534.033780697384,111235,5.046241459145623
FR101,artist_div_q2,1047.7314547928063,1046.83151582482,29.76772370268671,990.5881937035817,1110.0166170125208,111235,5.046241459145623
FR101,artist_gini,0.47481638969022966,0.4747054444139388,0.003251939936171176,0.4684162524099177,0.48113628625584054,111235,5.046241459145623
FR101,genre_div_q0,348.452,349,11.064271964938051,326,370,111235,5.046241459145623
FR101,genre_div_q1,33.19974734832044,33.208061411012565,0.6208252334282158,31.98106977068825,34.408115876816886,111235,5.046241459145623
FR101,genre_div_q2,13.694344867340044,13.690878014320216,0.2631651138199129,13.182862340718895,14.20447582071091,111235,5.046241459145623
FR101,genre_gini,0.8952352123677071,0.8953664615474526,0.0018381074550079038,0.8915226884669347,0.8985337912822597,111235,5.046241459145623
FR101,ind_div,42.73667,42.76,1.117095122454938,40.4695,44.87024999999999,111235,5.046241459145623
FR101,song_age,1919.6311388030792,1918.232374606161,81.16115192044461,1750.2402716890876,2080.6306311121,111235,5.046241459145623
FR101,song_div_q0,8269.403,8269,38.902004536488306,8196.95,8343,111235,5.046241459145623
FR101,song_div_q1,7451.553151636,7450.398751879506,59.47691300705164,7337.123368024193,7569.414171371115,111235,5.046241459145623
FR101,song_div_q2,6098.769316397547,6098.676609863913,116.32707640004868,5873.37013978621,6333.142286018049,111235,5.046241459145623
FR101,song_gini,0.15743260346084914,0.15751985311493413,0.0033396770232915615,0.15096273707881291,0.16386274459800806,111235,5.046241459145623
FR102,artist_div_q0,4071.72,4071,40.34639304115588,3994.975,4153.05,31159,4.493583511213273
FR102,artist_div_q1,1972.5092251591038,1971.9264652701138,34.368469119820155,1906.6169368307055,2041.2321098183677,31159,4.493583511213273
FR102,artist_div_q2,751.9889470778115,751.4412153148533,23.46816214314647,705.5613043277148,797.581906591739,31159,4.493583511213273
FR102,artist_gini,0.5166151941831181,0.5166221710590038,0.003255152347511979,0.5100377731774913,0.5229137885126586,31159,4.493583511213273
FR102,genre_div_q0,329.464,329,10.072743626448762,310,349,31159,4.493583511213273
FR102,genre_div_q1,32.17876752961209,32.13256535318702,0.5876709838305096,31.07723812159935,33.39012270830591,31159,4.493583511213273
FR102,genre_div_q2,13.501345588610887,13.488842652123806,0.24670642269549714,13.035246301322916,13.99080852956238,31159,4.493583511213273
FR102,genre_gini,0.894404412696609,0.8945032630497246,0.0019014625628707524,0.890830885080072,0.8980884477829146,31159,4.493583511213273
FR102,ind_div,40.24572,40.24,1.1445193778203173,37.987500000000004,42.41074999999999,31159,4.493583511213273
FR102,song_age,1791.8182923797108,1790.1622015400785,82.16260035940019,1632.3389645564653,1951.736442554323,31159,4.493583511213273
FR102,song_div_q0,7813.862,7815,41.03001850375428,7731.95,7892.049999999999,31159,4.493583511213273
FR102,song_div_q1,6765.264063336203,6767.810848416991,60.96961833865824,6644.530157583427,6880.130485598856,31159,4.493583511213273
FR102,song_div_q2,5136.564212666306,5141.388174807198,108.58343998277071,4925.598834337445,5337.389786624004,31159,4.493583511213273
FR102,song_gini,0.19650115073600144,0.19639911556826406,0.0034316687526334522,0.19004967954553634,0.20331436734611,31159,4.493583511213273
FR103,artist_div_q0,4150.235,4151,39.59251624161241,4066,4222,41361,4.616591030309093
FR103,artist_div_q1,2090.7955803339487,2090.064540412989,33.78381601574553,2022.7032048036508,2156.8738886324318,41361,4.616591030309093
FR103,artist_div_q2,846.8524272059293,845.9974290788349,23.521111489033608,797.4068693442108,890.5544251402914,41361,4.616591030309093
FR103,artist_gini,0.507463963117679,0.5074065284721352,0.003183421812327205,0.5013114757570659,0.5141692439421941,41361,4.616591030309093
FR103,genre_div_q0,336.156,336,10.37319947110183,316,357,41361,4.616591030309093
FR103,genre_div_q1,31.984064637010725,31.984067647874532,0.5642081193096933,30.914718815048243,33.106752747150395,41361,4.616591030309093
FR103,genre_div_q2,13.179983823053192,13.18173281170793,0.24730472073619642,12.717887489169463,13.659771427795864,41361,4.616591030309093
FR103,genre_gini,0.8956123477824023,0.8956455450000071,0.001849167477541057,0.8917890053338539,0.898987651816332,41361,4.616591030309093
FR103,ind_div,40.44122,40.425,1.190449613331821,38.159749999999995,42.710499999999996,41361,4.616591030309093
FR103,song_age,1835.193040402845,1834.4953396946325,78.983711501214,1684.081232790821,1989.3799257817345,41361,4.616591030309093
FR103,song_div_q0,7885.277,7885,40.47721180708567,7806,7964,41361,4.616591030309093
FR103,song_div_q1,6883.125320304887,6881.579752094889,60.59524294801448,6767.311461575368,6999.866708218774,41361,4.616591030309093
FR103,song_div_q2,5330.08308053717,5328.786102525845,108.92608770508234,5121.376626037079,5543.283357107921,41361,4.616591030309093
FR103,song_gini,0.19023844027933234,0.19016725260571243,0.0034012336892447126,0.18365480267762518,0.1968676955972167,41361,4.616591030309093
FR104,artist_div_q0,4105.027,4104,39.85271019026823,4028.975,4185.075,29347,4.467563712055963
FR104,artist_div_q1,2008.0662093173594,2007.3388034290408,34.259052164672795,1941.6715506858673,2078.706847668535,29347,4.467563712055963
FR104,artist_div_q2,772.2226287461402,771.9062548211923,22.6952928791681,728.1887950533836,815.5408204719307,29347,4.467563712055963
FR104,artist_gini,0.5134133508824439,0.5134595035223928,0.0032596599170041317,0.5068601181967058,0.5199578484097589,29347,4.467563712055963
