regional_group,metric,boot_m,boot_med,boot_sd,boot_lower_ci,boot_upper_ci,n_users,user_pop_size_log10
1100205,artist_div_q0,2999.224,2999,31.42491605954341,2938.975,3059,1098,3.040602340114073
1100205,artist_div_q1,1290.1338547655414,1289.9251534055165,20.75076637557124,1248.5652442278254,1328.0013410291574,1098,3.040602340114073
1100205,artist_div_q2,465.5932623785267,464.6493692983921,15.581906191713918,435.85825235654045,497.2092553043183,1098,3.040602340114073
1100205,artist_gini,0.5876874109510134,0.587675199996812,0.0025656660360086894,0.5829068075096417,0.5927120142862531,1098,3.040602340114073
1100205,genre_div_q0,254.754,255,7.866216457825284,239.975,270,1098,3.040602340114073
1100205,genre_div_q1,36.3557335944353,36.34963009122025,0.5505437173854745,35.267054757476565,37.5106323632004,1098,3.040602340114073
1100205,genre_div_q2,17.300239864651584,17.295243534147772,0.28273187241066783,16.762611765556475,17.85684547768507,1098,3.040602340114073
1100205,genre_gini,0.8720653552062368,0.8721011463485528,0.002905245773970496,0.866355050569929,0.8773505673508555,1098,3.040602340114073
1100205,ind_div,39.28512,39.325,1.208946540314061,36.82,41.51125,1098,3.040602340114073
1100205,song_age,1698.891915250989,1700.243629314573,81.84018000786274,1531.5019276054707,1855.8363828602628,1098,3.040602340114073
1100205,song_div_q0,7198.664,7198,40.151503673551844,7118,7278.0250000000005,1098,3.040602340114073
1100205,song_div_q1,5710.610532659918,5710.74022218565,61.26435917511933,5586.820896045278,5835.743033135829,1098,3.040602340114073
1100205,song_div_q2,3492.200271166676,3491.1325233905877,98.70086446066287,3301.5994770446605,3705.3642578175213,1098,3.040602340114073
1100205,song_gini,0.25129043647826765,0.2512665408603593,0.0033965204237129754,0.24471998811324916,0.25786655195014613,1098,3.040602340114073
1200401,artist_div_q0,2848.476,2849,30.099325464092935,2791,2909.0249999999996,821,2.9143431571194407
1200401,artist_div_q1,1153.225556447387,1153.4062613739104,18.51128558869066,1118.6442224699144,1190.0977639777118,821,2.9143431571194407
1200401,artist_div_q2,415.99004513066666,416.1719324818371,12.117598964204408,392.9425750465394,439.8792872497247,821,2.9143431571194407
1200401,artist_gini,0.6049889144633477,0.6050088800099191,0.0024436347622049477,0.6002338885358,0.6094956214442693,821,2.9143431571194407
1200401,genre_div_q0,254.658,255,7.545460222542425,240,270,821,2.9143431571194407
1200401,genre_div_q1,38.26323984801631,38.256508561206644,0.557130643743251,37.254594339801564,39.32486222273189,821,2.9143431571194407
1200401,genre_div_q2,18.82315226485183,18.814999870725394,0.30979911477573335,18.226910166609407,19.4409231563251,821,2.9143431571194407
1200401,genre_gini,0.8683474716437727,0.8683469467040159,0.002896643762960517,0.8626675434181552,0.8737811185996721,821,2.9143431571194407
1200401,ind_div,39.05367,39.08,1.222780283911514,36.71,41.530750000000005,821,2.9143431571194407
