regional_group,metric,listen_type,boot_m,boot_med,boot_sd,boot_lower_ci,boot_upper_ci,n_users,user_pop_size_log10
1100205,artist_div_q0,A,594.04,593,13.130377253026948,567,620,1098,3.040602340114073
1100205,artist_div_q0,O,652.694,652.5,13.627181075485282,626,679,1098,3.040602340114073
1100205,artist_div_q1,A,433.5359566019401,433.36502042672805,16.215197666133324,401.1390586190107,466.9169454871079,1098,3.040602340114073
1100205,artist_div_q1,O,510.76168807825354,510.2871163533291,18.21091414980678,476.8145637787159,547.3341861542639,1098,3.040602340114073
1100205,artist_div_q2,A,259.5853333503637,259.4676552289584,20.41332108760884,220.2453630229904,298.3626551755799,1098,3.040602340114073
1100205,artist_div_q2,O,337.6854808639923,338.2649569784859,26.136620021315135,290.2435226770124,389.69191721983725,1098,3.040602340114073
1100205,artist_gini,A,0.3429463114881861,0.34299137176058025,0.01017358729796647,0.32198123373623916,0.36286166490123567,1098,3.040602340114073
1100205,artist_gini,O,0.2952048828529994,0.2954791355185279,0.01078132061091622,0.2745846291264029,0.3164291898875747,1098,3.040602340114073
1100205,genre_div_q0,A,59.659,60,3.7662851596638127,52,67,1098,3.040602340114073
1100205,genre_div_q0,O,68.721,69,3.9225687432530094,61,76,1098,3.040602340114073
1100205,genre_div_q1,A,20.597509005090007,20.608677301529365,0.8190165660417472,19.064379975651033,22.24329529382762,1098,3.040602340114073
1100205,genre_div_q1,O,23.70716399610295,23.718650832596254,1.0013753287435283,21.784062175136324,25.723769140082528,1098,3.040602340114073
1100205,genre_div_q2,A,12.994172625661035,12.967277992147597,0.5675265517262971,11.939825006866467,14.164248910406199,1098,3.040602340114073
1100205,genre_div_q2,O,13.77432031030213,13.763615072962459,0.7178816080405452,12.371752047817608,15.19886913869183,1098,3.040602340114073
1100205,genre_gini,A,0.7452778687007244,0.745287184538571,0.011463040894213442,0.7203189250254377,0.7662160540435697,1098,3.040602340114073
1100205,genre_gini,O,0.7369264685449612,0.7370694128449742,0.011405524298254763,0.7133564422283243,0.7581033656974691,1098,3.040602340114073
1100205,ind_div,A,39.20651,39.2,1.2606818149471894,36.649499999999996,41.700500000000005,1098,3.040602340114073
1100205,ind_div,O,39.20651,39.2,1.2606818149471894,36.649499999999996,41.700500000000005,1098,3.040602340114073
1100205,song_age,A,1695.409987526514,1698.5364055032871,79.96691513762703,1529.0881527601396,1854.351720377348,1098,3.040602340114073
1100205,song_age,O,1695.409987526514,1698.5364055032871,79.96691513762703,1529.0881527601396,1854.351720377348,1098,3.040602340114073
1100205,song_div_q0,A,932.309,932,8.156595432473594,915,947,1098,3.040602340114073
1100205,song_div_q0,O,924.869,925,8.595913490067757,908,941,1098,3.040602340114073
1100205,song_div_q1,A,903.9100443676041,904.5085294170781,11.92320012313218,878.4693794970277,925.4491088478004,1098,3.040602340114073
1100205,song_div_q1,O,889.1489641022745,889.8267483864124,13.595581561186819,860.9978881256768,914.5982936416435,1098,3.040602340114073
1100205,song_div_q2,A,858.1511440969399,859.1065292096204,19.095902431161633,818.2971770268364,892.8571428571374,1098,3.040602340114073
1100205,song_div_q2,O,826.4928945714062,827.8145695364205,25.15127861170672,770.4160246533096,871.0801393728177,1098,3.040602340114073
1100205,song_gini,A,0.06425758537030737,0.06414500537056786,0.007425915300494305,0.050678329809725954,0.07980454665289267,1098,3.040602340114073
1100205,song_gini,O,0.07160866311154777,0.07144480519480453,0.007937782630775908,0.05682047872340194,0.08730826901874016,1098,3.040602340114073
1200401,artist_div_q0,A,584.261,584,12.751057543140039,559,610,821,2.9143431571194407
1200401,artist_div_q0,O,624.232,624,13.491782840092098,597,651,821,2.9143431571194407
1200401,artist_div_q1,A,427.5919188921638,427.18900136568413,15.520985690040506,397.2656330953939,458.8676522130294,821,2.9143431571194407
1200401,artist_div_q1,O,472.0497482814807,471.7354759277399,17.00911368754124,438.42365931213965,504.7896493908092,821,2.9143431571194407
1200401,artist_div_q2,A,268.6076567963937,269.16361490480074,18.37427465383439,231.7106686546591,305.7102516881492,821,2.9143431571194407
1200401,artist_div_q2,O,303.00492377857717,302.36915604128404,22.02682477315032,261.7400942129933,345.65017421603216,821,2.9143431571194407
1200401,artist_gini,A,0.34899247602056965,0.34921439272245225,0.0100478312136194,0.3290422934511248,0.3684206029541152,821,2.9143431571194407
1200401,artist_gini,O,0.319562958987258,0.31952985027796443,0.010461887354448529,0.30017265949809313,0.34116669327390997,821,2.9143431571194407
1200401,genre_div_q0,A,60.527,61,3.6014221137268985,53.975,68,821,2.9143431571194407
1200401,genre_div_q0,O,67.763,68,3.9885761544365357,60,75,821,2.9143431571194407
1200401,genre_div_q1,A,21.844650134311355,21.820973845575764,0.8313437315780394,20.32845060371949,23.573348493185485,821,2.9143431571194407
1200401,genre_div_q1,O,24.410814500476253,24.403678365656894,0.9988806740506184,22.506409083176223,26.535490208862146,821,2.9143431571194407
1200401,genre_div_q2,A,13.973639433057032,13.975466302976201,0.5976598710437716,12.813303134380066,15.185006560563894,821,2.9143431571194407
1200401,genre_div_q2,O,14.987494107654262,14.95106730762201,0.70511015122004,13.631138319020373,16.348129769915754,821,2.9143431571194407
1200401,genre_gini,A,0.7347578322082788,0.7353090395616655,0.01140688202126851,0.7117073260203919,0.7553810263628155,821,2.9143431571194407
1200401,genre_gini,O,0.7302666691211199,0.7312242830433962,0.01120873320403934,0.7077814494572467,0.7505331149246359,821,2.9143431571194407
1200401,ind_div,A,38.98203,38.97,1.2422954064863063,36.54899999999999,41.312999999999995,821,2.9143431571194407
